ner_tags,tokens,lnt,lnn
"['O', 'O', 'O', 'B-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['além', 'dos', 'frutos,', 'sucos', 'também', 'podem', 'ser', 'obtidos', 'pelo', 'processamento', 'de', 'outras', 'partes', 'dos', 'vegetais,', 'tais', 'como', 'folhas,', 'talos', 'ou', 'raízes.']",21,21
"['O', 'O', 'O', 'B-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Drink', 'O']","['em', 'portugal,', 'a', 'aguardente', 'bagaceira', 'é', 'vulgarmente', 'designada', 'por', 'bagaço', 'por', 'ser', 'feita', 'a', 'partir', 'do', 'bagaço', 'de', 'uva', 'para', 'a', 'distinguir', 'de', 'outras', 'aguardentes,', 'como', 'a', 'de', 'cana', 'de', 'açúcar', 'ou', 'rum', 'agrícola', 'produzido', 'uma', 'vez', 'por', 'ano', 'diretamente', 'do', 'sumo', 'da', 'cana', 'de', 'açúcar', 'na', 'ilha', 'da', 'madeira', 'e', 'a', 'aguardente', 'vínica,', 'obtida', 'a', 'partir', 'de', 'vinho,', 'esta', 'última', 'usando', 'um', 'processo', 'semelhante', 'ao', 'do', 'conhaque', 'francês,', 'é', 'muitas', 'vezes', 'envelhecida', 'em', 'pipas', 'de', 'carvalho,', 'tomando', 'então', 'uma', 'coloração', 'amarelada', 'e', 'um', 'sabor', 'e', 'aroma', 'característico,', 'passando', 'a', 'designar-se', 'aguardente', 'velha.']",93,93
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Drink', 'O', 'O', 'O']","['no', 'entanto,', 'a', 'região', 'de', 'champagne', 'produz,', 'em', 'grande', 'maioria,', 'vinhos', 'espumantes', '(brancos', 'ou', 'rosados)', 'chamados', 'simplesmente', 'de', 'champanhe,', 'sem', 'mais', 'especificações.']",22,22
"['B-Drink', 'I-Drink', 'I-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['vinho', 'de', 'palma,', 'também', 'chamado', 'mandijevo,', 'marufo', 'e', 'maruvo', '(em', 'angola)', 'ou', 'toddy,', 'é', 'uma', 'bebida', 'alcoólica', 'obtida', 'a', 'partir', 'da', 'fermentação', 'alcoólica', 'da', 'seiva', 'de', 'várias', 'espécies', 'de', 'palmeiras', 'como', 'a', 'palmeira-de-leque-africana', 'e', 'a', 'matebeira.']",36,36
"['O', 'B-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['a', 'ayahuasca', 'é,', 'frequentemente,', 'associada', 'a', 'rituais', 'de', 'diferentes', 'grupos', 'sociais', 'e', 'religiões,', 'além', 'de', 'fazer', 'parte', 'da', 'medicina', 'tradicional', 'dos', 'povos', 'da', 'amazônia.']",24,24
"['O', 'B-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['o', 'mezcal', 'diferencia-se', 'da', 'tequila', 'por', 'ser', 'uma', 'bebida', 'mais', '""rústica"",', 'sendo', 'em', 'geral', 'destilada', 'apenas', 'uma', 'vez,', 'contra', 'duas', 'ou', 'três', 'da', 'tequila.']",24,24
"['O', 'B-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['a', 'vodca', 'é', 'a', 'bebida', 'nacional', 'da', 'polónia', 'e', 'da', 'rússia,', 'o', 'nome', 'vodka', '(em', 'português:', 'vodca)', 'é', 'o', 'diminutivo', 'de', 'água', '(""aguinha"")', 'em', 'várias', 'línguas', 'eslavas,', 'contudo', 'não', 'se', 'tem', 'certeza', 'da', 'origem', 'etimológica,', 'que', 'poderia', 'ser', 'apenas', 'uma', 'coincidência.']",41,41
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Drink', 'I-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['uma', 'das', 'ações', 'de', 'marketing', 'da', 'empresa', 'para', 'divulgar', 'o', 'mountain', 'dew', 'foi', 'a', 'contratação', 'da', 'banda', 'punk', 'campineira', 'muzzarelas', 'para', 'realizar', 'alguns', 'shows', 'promocionais.']",25,25
"['O', 'O', 'O', 'B-Drink', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['nessa', 'época,', 'o', 'gim', 'foi', 'combatido', 'com', 'campanhas', 'semelhantes', 'às', 'feitas', 'hoje', 'para', 'o', 'combate', 'de', 'drogas', 'ilegais.']",18,18
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Drink']","['sphyraena', 'é', 'um', 'género', 'de', 'peixes', 'perciformes', 'marinhos,', 'o', 'único', 'da', 'família', 'monotípica', 'sphyraenidae,', 'que', 'inclui', 'as', 'espécies', 'conhecidas', 'pelo', 'nome', 'comum', 'de', 'barracuda.']",24,24
